净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌,涨跌
2022-03-31,1.1734,1.1734,-4.42,开放申购,开放赎回,-0.44,-1
2022-03-30,1.2277,1.2277,1.67,开放申购,开放赎回,1.96,1
2022-03-29,1.2075,1.2075,0.45,开放申购,开放赎回,-0.33,1
2022-03-28,1.2021,1.2021,-3.23,开放申购,开放赎回,0.07,-1
2022-03-25,1.2422,1.2422,-1.19,开放申购,开放赎回,-1.17,-1
2022-03-24,1.2572,1.2572,0.53,开放申购,开放赎回,-0.63,1
2022-03-23,1.2506,1.2506,-1.05,开放申购,开放赎回,0.34,-1
2022-03-22,1.2639,1.2639,0.76,开放申购,开放赎回,0.19,1
2022-03-21,1.2544,1.2544,0.62,开放申购,开放赎回,0.08,1
2022-03-18,1.2467,1.2467,0.38,开放申购,开放赎回,1.12,1
2022-03-17,1.242,1.242,-0.24,开放申购,开放赎回,1.4,-1
2022-03-16,1.245,1.245,4.66,开放申购,开放赎回,3.48,1
2022-03-15,1.1896,1.1896,-2.29,开放申购,开放赎回,-4.95,-1
2022-03-14,1.2175,1.2175,-1.09,开放申购,开放赎回,-2.6,-1
2022-03-11,1.2309,1.2309,-0.56,开放申购,开放赎回,0.41,-1
2022-03-10,1.2378,1.2378,0.79,开放申购,开放赎回,1.22,1
2022-03-09,1.2281,1.2281,-1.75,开放申购,开放赎回,-1.13,-1
2022-03-08,1.25,1.25,-5.88,开放申购,开放赎回,-2.35,-1
2022-03-07,1.3281,1.3281,-0.65,开放申购,开放赎回,-2.17,-1
2022-03-04,1.3368,1.3368,-1.62,开放申购,开放赎回,-0.96,-1
2022-03-03,1.3588,1.3588,-1.84,开放申购,开放赎回,-0.09,-1
2022-03-02,1.3843,1.3843,0.76,开放申购,开放赎回,-0.13,1
2022-03-01,1.3738,1.3738,-3.36,开放申购,开放赎回,0.77,-1
2022-02-28,1.4215,1.4215,4.07,开放申购,开放赎回,0.32,1
2022-02-25,1.3659,1.3659,2.28,开放申购,开放赎回,0.63,1
2022-02-24,1.3355,1.3355,-3.36,开放申购,开放赎回,-1.7,-1
2022-02-23,1.382,1.382,0.37,开放申购,开放赎回,0.93,1
2022-02-22,1.3769,1.3769,2.65,开放申购,开放赎回,-0.96,1
2022-02-21,1.3414,1.3414,1.45,开放申购,开放赎回,0.0,1
2022-02-18,1.3222,1.3222,0.21,开放申购,开放赎回,0.66,1
2022-02-17,1.3194,1.3194,6.09,开放申购,开放赎回,0.06,1
2022-02-16,1.2437,1.2437,0.32,开放申购,开放赎回,0.57,1
2022-02-15,1.2397,1.2397,0.62,开放申购,开放赎回,0.5,1
2022-02-14,1.2321,1.2321,-0.24,开放申购,开放赎回,-0.98,-1
2022-02-11,1.2351,1.2351,0.57,开放申购,开放赎回,-0.66,1
2022-02-10,1.2281,1.2281,-0.49,开放申购,开放赎回,0.17,-1
2022-02-09,1.2341,1.2341,3.68,开放申购,开放赎回,0.79,1
2022-02-08,1.1903,1.1903,-1.16,开放申购,开放赎回,0.67,-1
2022-02-07,1.2043,1.2043,1.84,开放申购,开放赎回,2.03,1
2022-01-28,1.1825,1.1825,-1.74,开放申购,开放赎回,-0.97,-1
2022-01-27,1.2034,1.2034,-1.22,开放申购,开放赎回,-1.78,-1
2022-01-26,1.2183,1.2183,0.20,开放申购,开放赎回,0.66,1
2022-01-25,1.2159,1.2159,-2.32,开放申购,开放赎回,-2.58,-1
2022-01-24,1.2448,1.2448,5.11,开放申购,开放赎回,0.04,1
2022-01-21,1.1843,1.1843,1.03,开放申购,开放赎回,-0.91,1
2022-01-20,1.1722,1.1722,-2.97,开放申购,开放赎回,-0.09,-1
2022-01-19,1.2081,1.2081,-3.89,开放申购,开放赎回,-0.33,-1
2022-01-18,1.257,1.257,-0.10,开放申购,开放赎回,0.8,-1
2022-01-17,1.2582,1.2582,0.83,开放申购,开放赎回,0.58,1
2022-01-14,1.2479,1.2479,0.52,开放申购,开放赎回,-0.96,1
2022-01-13,1.2415,1.2415,-3.49,开放申购,开放赎回,-1.17,-1
2022-01-12,1.2864,1.2864,0.43,开放申购,开放赎回,0.84,1
2022-01-11,1.2809,1.2809,-0.09,开放申购,开放赎回,-0.73,-1
2022-01-10,1.2821,1.2821,0.42,开放申购,开放赎回,0.39,1
2022-01-07,1.2768,1.2768,-4.19,开放申购,开放赎回,-0.18,-1
2022-01-06,1.3326,1.3326,2.41,开放申购,开放赎回,-0.25,1
2022-01-05,1.3013,1.3013,-3.20,开放申购,开放赎回,-1.02,-1
2022-01-04,1.3443,1.3443,-3.43,开放申购,开放赎回,-0.2,-1
2021-12-31,1.3921,1.3921,2.85,开放申购,开放赎回,0.57,1
2021-12-30,1.3535,1.3535,-0.80,开放申购,开放赎回,0.62,-1
2021-12-29,1.3644,1.3644,0.97,开放申购,开放赎回,-0.91,1
2021-12-28,1.3513,1.3513,4.69,开放申购,开放赎回,0.39,1
2021-12-27,1.2908,1.2908,0.47,开放申购,开放赎回,-0.06,1
2021-12-24,1.2847,1.2847,-3.83,开放申购,开放赎回,-0.69,-1
2021-12-23,1.3358,1.3358,-1.13,开放申购,开放赎回,0.57,-1
2021-12-22,1.3511,1.3511,-0.06,开放申购,开放赎回,-0.07,-1
2021-12-21,1.3519,1.3519,-0.27,开放申购,开放赎回,0.88,-1
2021-12-20,1.3556,1.3556,-1.57,开放申购,开放赎回,-1.07,-1
2021-12-17,1.3772,1.3772,-1.11,开放申购,开放赎回,-1.16,-1
2021-12-16,1.3927,1.3927,0.27,开放申购,开放赎回,0.75,1
2021-12-15,1.389,1.389,-1.91,开放申购,开放赎回,-0.38,-1
2021-12-14,1.416,1.416,-2.35,开放申购,开放赎回,-0.53,-1
2021-12-13,1.4501,1.4501,0.86,开放申购,开放赎回,0.4,1
2021-12-10,1.4378,1.4378,3.01,开放申购,开放赎回,-0.18,1
2021-12-09,1.3958,1.3958,-0.68,开放申购,开放赎回,0.98,-1
2021-12-08,1.4054,1.4054,1.72,开放申购,开放赎回,1.18,1
2021-12-07,1.3816,1.3816,-4.05,开放申购,开放赎回,0.16,-1
2021-12-06,1.4399,1.4399,-1.66,开放申购,开放赎回,-0.5,-1
2021-12-03,1.4642,1.4642,0.53,开放申购,开放赎回,0.94,1
2021-12-02,1.4565,1.4565,0.68,开放申购,开放赎回,-0.09,1
2021-12-01,1.4467,1.4467,-0.48,开放申购,开放赎回,0.36,-1
2021-11-30,1.4537,1.4537,-0.52,开放申购,开放赎回,0.03,-1
2021-11-29,1.4613,1.4613,3.42,开放申购,开放赎回,-0.04,1
2021-11-26,1.413,1.413,1.74,开放申购,开放赎回,-0.56,1
2021-11-25,1.3889,1.3889,0.91,开放申购,开放赎回,-0.24,1
2021-11-24,1.3764,1.3764,-0.93,开放申购,开放赎回,0.1,-1
2021-11-23,1.3893,1.3893,-0.96,开放申购,开放赎回,0.2,-1
2021-11-22,1.4027,1.4027,3.09,开放申购,开放赎回,0.61,1
2021-11-19,1.3607,1.3607,0.06,开放申购,开放赎回,1.13,1
2021-11-18,1.3599,1.3599,-0.94,开放申购,开放赎回,-0.47,-1
2021-11-17,1.3728,1.3728,4.01,开放申购,开放赎回,0.44,1
2021-11-16,1.3199,1.3199,-1.11,开放申购,开放赎回,-0.33,-1
2021-11-15,1.3347,1.3347,-3.39,开放申购,开放赎回,-0.16,-1
2021-11-12,1.3815,1.3815,1.83,开放申购,开放赎回,0.18,1
