净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌,涨跌
2022-04-01,5.699,5.699,-0.26,开放申购,开放赎回,0.94,-1
2022-03-31,5.714,5.714,-3.07,开放申购,开放赎回,-0.44,-1
2022-03-30,5.895,5.895,3.26,开放申购,开放赎回,1.96,1
2022-03-29,5.709,5.709,-0.19,开放申购,开放赎回,-0.33,-1
2022-03-28,5.72,5.72,-1.6,开放申购,开放赎回,0.07,-1
2022-03-25,5.813,5.813,-1.97,开放申购,开放赎回,-1.17,-1
2022-03-24,5.93,5.93,-1.28,开放申购,开放赎回,-0.63,-1
2022-03-23,6.007,6.007,0.97,开放申购,开放赎回,0.34,1
2022-03-22,5.949,5.949,-1.9,开放申购,开放赎回,0.19,-1
2022-03-21,6.064,6.064,0.6,开放申购,开放赎回,0.08,1
2022-03-18,6.028,6.028,-0.74,开放申购,开放赎回,1.12,-1
2022-03-17,6.073,6.073,1.62,开放申购,开放赎回,1.4,1
2022-03-16,5.976,5.976,4.2,开放申购,开放赎回,3.48,1
2022-03-15,5.735,5.735,-2.12,开放申购,开放赎回,-4.95,-1
2022-03-14,5.859,5.859,-2.42,开放申购,开放赎回,-2.6,-1
2022-03-11,6.004,6.004,-0.89,开放申购,开放赎回,0.41,-1
2022-03-10,6.058,6.058,2.7,开放申购,开放赎回,1.22,1
2022-03-09,5.899,5.899,0.14,开放申购,开放赎回,-1.13,1
2022-03-08,5.891,5.891,-2.56,开放申购,开放赎回,-2.35,-1
2022-03-07,6.046,6.046,-2.61,开放申购,开放赎回,-2.17,-1
2022-03-04,6.208,6.208,-1.59,开放申购,开放赎回,-0.96,-1
2022-03-03,6.308,6.308,-2.79,开放申购,开放赎回,-0.09,-1
2022-03-02,6.489,6.489,-1.56,开放申购,开放赎回,-0.13,-1
2022-03-01,6.592,6.592,0.0,开放申购,开放赎回,0.77,-1
2022-02-28,6.592,6.592,1.24,开放申购,开放赎回,0.32,1
2022-02-25,6.511,6.511,1.01,开放申购,开放赎回,0.63,1
2022-02-24,6.446,6.446,-1.26,开放申购,开放赎回,-1.7,-1
2022-02-23,6.528,6.528,3.92,开放申购,开放赎回,0.93,1
2022-02-22,6.282,6.282,-0.95,开放申购,开放赎回,-0.96,-1
2022-02-21,6.342,6.342,-0.63,开放申购,开放赎回,0.0,-1
2022-02-18,6.382,6.382,-0.93,开放申购,开放赎回,0.66,-1
2022-02-17,6.442,6.442,1.95,开放申购,开放赎回,0.06,1
2022-02-16,6.319,6.319,-0.61,开放申购,开放赎回,0.57,-1
2022-02-15,6.358,6.358,4.09,开放申购,开放赎回,0.5,1
2022-02-14,6.108,6.108,0.0,开放申购,开放赎回,-0.98,-1
2022-02-11,6.108,6.108,-2.68,开放申购,开放赎回,-0.66,-1
2022-02-10,6.276,6.276,-2.56,开放申购,开放赎回,0.17,-1
2022-02-09,6.441,6.441,1.53,开放申购,开放赎回,0.79,1
2022-02-08,6.344,6.344,-2.56,开放申购,开放赎回,0.67,-1
2022-02-07,6.511,6.511,-0.2,开放申购,开放赎回,2.03,-1
2022-01-28,6.524,6.524,-0.32,开放申购,开放赎回,-0.97,-1
2022-01-27,6.545,6.545,-2.17,开放申购,开放赎回,-1.78,-1
2022-01-26,6.69,6.69,0.92,开放申购,开放赎回,0.66,1
2022-01-25,6.629,6.629,-2.04,开放申购,开放赎回,-2.58,-1
2022-01-24,6.767,6.767,2.76,开放申购,开放赎回,0.04,1
2022-01-21,6.585,6.585,-0.69,开放申购,开放赎回,-0.91,-1
2022-01-20,6.631,6.631,-1.54,开放申购,开放赎回,-0.09,-1
2022-01-19,6.735,6.735,-2.11,开放申购,开放赎回,-0.33,-1
2022-01-18,6.88,6.88,0.25,开放申购,开放赎回,0.8,1
2022-01-17,6.863,6.863,1.0,开放申购,开放赎回,0.58,1
2022-01-14,6.795,6.795,1.37,开放申购,开放赎回,-0.96,1
2022-01-13,6.703,6.703,-1.79,开放申购,开放赎回,-1.17,-1
2022-01-12,6.825,6.825,2.51,开放申购,开放赎回,0.84,1
2022-01-11,6.658,6.658,-2.33,开放申购,开放赎回,-0.73,-1
2022-01-10,6.817,6.817,0.13,开放申购,开放赎回,0.39,1
2022-01-07,6.808,6.808,-1.4,开放申购,开放赎回,-0.18,-1
2022-01-06,6.905,6.905,-0.35,开放申购,开放赎回,-0.25,-1
2022-01-05,6.929,6.929,-3.36,开放申购,开放赎回,-1.02,-1
2022-01-04,7.17,7.17,-1.86,开放申购,开放赎回,-0.2,-1
2021-12-31,7.306,7.306,1.02,开放申购,开放赎回,0.57,1
2021-12-30,7.232,7.232,0.57,开放申购,开放赎回,0.62,1
2021-12-29,7.191,7.191,0.14,开放申购,开放赎回,-0.91,1
2021-12-28,7.181,7.181,0.83,开放申购,开放赎回,0.39,1
2021-12-27,7.122,7.122,-0.17,开放申购,开放赎回,-0.06,-1
2021-12-24,7.134,7.134,-1.86,开放申购,开放赎回,-0.69,-1
2021-12-23,7.269,7.269,1.38,开放申购,开放赎回,0.57,1
2021-12-22,7.17,7.17,1.46,开放申购,开放赎回,-0.07,1
2021-12-21,7.067,7.067,1.01,开放申购,开放赎回,0.88,1
2021-12-20,6.996,6.996,-2.55,开放申购,开放赎回,-1.07,-1
2021-12-17,7.179,7.179,-2.46,开放申购,开放赎回,-1.16,-1
2021-12-16,7.36,7.36,0.63,开放申购,开放赎回,0.75,1
2021-12-15,7.314,7.314,-0.61,开放申购,开放赎回,-0.38,-1
2021-12-14,7.359,7.359,-0.03,开放申购,开放赎回,-0.53,-1
2021-12-13,7.361,7.361,0.07,开放申购,开放赎回,0.4,1
2021-12-10,7.356,7.356,0.93,开放申购,开放赎回,-0.18,1
2021-12-09,7.288,7.288,-0.04,开放申购,开放赎回,0.98,-1
2021-12-08,7.291,7.291,2.52,开放申购,开放赎回,1.18,1
2021-12-07,7.112,7.112,-1.56,开放申购,开放赎回,0.16,-1
2021-12-06,7.225,7.225,-1.28,开放申购,开放赎回,-0.5,-1
2021-12-03,7.319,7.319,0.83,开放申购,开放赎回,0.94,1
2021-12-02,7.259,7.259,-0.78,开放申购,开放赎回,-0.09,-1
2021-12-01,7.316,7.316,-1.52,开放申购,开放赎回,0.36,-1
2021-11-30,7.429,7.429,0.76,开放申购,开放赎回,0.03,1
2021-11-29,7.373,7.373,1.87,开放申购,开放赎回,-0.04,1
2021-11-26,7.238,7.238,0.44,开放申购,开放赎回,-0.56,1
2021-11-25,7.206,7.206,-0.48,开放申购,开放赎回,-0.24,-1
2021-11-24,7.241,7.241,-1.47,开放申购,开放赎回,0.1,-1
2021-11-23,7.349,7.349,-1.41,开放申购,开放赎回,0.2,-1
2021-11-22,7.454,7.454,1.57,开放申购,开放赎回,0.61,1
2021-11-19,7.339,7.339,0.71,开放申购,开放赎回,1.13,1
2021-11-18,7.287,7.287,0.36,开放申购,开放赎回,-0.47,1
2021-11-17,7.261,7.261,2.14,开放申购,开放赎回,0.44,1
2021-11-16,7.109,7.109,-2.0,开放申购,开放赎回,-0.33,-1
2021-11-15,7.254,7.254,-1.61,开放申购,开放赎回,-0.16,-1
2021-11-12,7.373,7.373,1.18,开放申购,开放赎回,0.18,1
2021-11-11,7.287,7.287,0.19,开放申购,开放赎回,1.15,1
2021-11-10,7.273,7.273,0.15,开放申购,开放赎回,-0.41,1
2021-11-09,7.262,7.262,1.48,开放申购,开放赎回,0.24,1
2021-11-08,7.156,7.156,0.68,开放申购,开放赎回,0.2,1
2021-11-05,7.108,7.108,-0.82,开放申购,开放赎回,-1.0,-1
2021-11-04,7.167,7.167,1.21,开放申购,开放赎回,0.81,1
2021-11-03,7.081,7.081,-0.59,开放申购,开放赎回,-0.2,-1
2021-11-02,7.123,7.123,0.58,开放申购,开放赎回,-1.1,1
2021-11-01,7.082,7.082,1.68,开放申购,开放赎回,-0.08,1
2021-10-29,6.965,6.965,2.29,开放申购,开放赎回,0.82,1
2021-10-28,6.809,6.809,-0.58,开放申购,开放赎回,-1.23,-1
2021-10-27,6.849,6.849,0.65,开放申购,开放赎回,-0.98,1
2021-10-26,6.805,6.805,-0.16,开放申购,开放赎回,-0.34,-1
2021-10-25,6.816,6.816,1.55,开放申购,开放赎回,0.76,1
2021-10-22,6.712,6.712,-0.52,开放申购,开放赎回,-0.34,-1
2021-10-21,6.747,6.747,-1.06,开放申购,开放赎回,0.22,-1
2021-10-20,6.819,6.819,0.84,开放申购,开放赎回,-0.17,1
2021-10-19,6.762,6.762,1.02,开放申购,开放赎回,0.7,1
2021-10-18,6.694,6.694,1.52,开放申购,开放赎回,-0.12,1
2021-10-15,6.594,6.594,1.35,开放申购,开放赎回,0.4,1
2021-10-14,6.506,6.506,0.85,开放申购,开放赎回,-0.1,1
2021-10-13,6.451,6.451,2.51,开放申购,开放赎回,0.42,1
2021-10-12,6.293,6.293,-1.53,开放申购,开放赎回,-1.25,-1
2021-10-11,6.391,6.391,0.41,开放申购,开放赎回,-0.01,1
2021-10-08,6.365,6.365,-1.26,开放申购,开放赎回,0.67,-1
2021-09-30,6.446,6.446,2.12,开放申购,开放赎回,0.9,1
2021-09-29,6.312,6.312,-1.59,开放申购,开放赎回,-1.83,-1
2021-09-28,6.414,6.414,0.6,开放申购,开放赎回,0.54,1
2021-09-27,6.376,6.376,-1.25,开放申购,开放赎回,-0.84,-1
2021-09-24,6.457,6.457,0.33,开放申购,开放赎回,-0.8,1
2021-09-23,6.436,6.436,1.31,开放申购,开放赎回,0.38,1
2021-09-22,6.353,6.353,-0.5,开放申购,开放赎回,0.4,-1
2021-09-17,6.385,6.385,-1.07,开放申购,开放赎回,0.19,-1
