净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌,涨跌
2022-04-07,5.411,5.411,-1.73,开放申购,开放赎回,-1.42,-1
2022-04-06,5.506,5.506,-2.82,开放申购,开放赎回,0.02,-1
2022-04-01,5.666,5.666,-0.25,开放申购,开放赎回,0.94,-1
2022-03-31,5.68,5.68,-3.09,开放申购,开放赎回,-0.44,-1
2022-03-30,5.861,5.861,3.28,开放申购,开放赎回,1.96,1
2022-03-29,5.675,5.675,-0.21,开放申购,开放赎回,-0.33,-1
2022-03-28,5.687,5.687,-1.61,开放申购,开放赎回,0.07,-1
2022-03-25,5.78,5.78,-1.97,开放申购,开放赎回,-1.17,-1
2022-03-24,5.896,5.896,-1.27,开放申购,开放赎回,-0.63,-1
2022-03-23,5.972,5.972,0.96,开放申购,开放赎回,0.34,1
2022-03-22,5.915,5.915,-1.89,开放申购,开放赎回,0.19,-1
2022-03-21,6.029,6.029,0.58,开放申购,开放赎回,0.08,1
2022-03-18,5.994,5.994,-0.73,开放申购,开放赎回,1.12,-1
2022-03-17,6.038,6.038,1.62,开放申购,开放赎回,1.4,1
2022-03-16,5.942,5.942,4.19,开放申购,开放赎回,3.48,1
2022-03-15,5.703,5.703,-2.11,开放申购,开放赎回,-4.95,-1
2022-03-14,5.826,5.826,-2.41,开放申购,开放赎回,-2.6,-1
2022-03-11,5.97,5.97,-0.9,开放申购,开放赎回,0.41,-1
2022-03-10,6.024,6.024,2.69,开放申购,开放赎回,1.22,1
2022-03-09,5.866,5.866,0.12,开放申购,开放赎回,-1.13,1
2022-03-08,5.859,5.859,-2.56,开放申购,开放赎回,-2.35,-1
2022-03-07,6.013,6.013,-2.61,开放申购,开放赎回,-2.17,-1
2022-03-04,6.174,6.174,-1.58,开放申购,开放赎回,-0.96,-1
2022-03-03,6.273,6.273,-2.79,开放申购,开放赎回,-0.09,-1
2022-03-02,6.453,6.453,-1.57,开放申购,开放赎回,-0.13,-1
2022-03-01,6.556,6.556,0.0,开放申购,开放赎回,0.77,-1
2022-02-28,6.556,6.556,1.24,开放申购,开放赎回,0.32,1
2022-02-25,6.476,6.476,1.01,开放申购,开放赎回,0.63,1
2022-02-24,6.411,6.411,-1.26,开放申购,开放赎回,-1.7,-1
2022-02-23,6.493,6.493,3.92,开放申购,开放赎回,0.93,1
2022-02-22,6.248,6.248,-0.95,开放申购,开放赎回,-0.96,-1
2022-02-21,6.308,6.308,-0.61,开放申购,开放赎回,0.0,-1
2022-02-18,6.347,6.347,-0.94,开放申购,开放赎回,0.66,-1
2022-02-17,6.407,6.407,1.94,开放申购,开放赎回,0.06,1
2022-02-16,6.285,6.285,-0.62,开放申购,开放赎回,0.57,-1
2022-02-15,6.324,6.324,4.08,开放申购,开放赎回,0.5,1
2022-02-14,6.076,6.076,0.0,开放申购,开放赎回,-0.98,-1
2022-02-11,6.076,6.076,-2.66,开放申购,开放赎回,-0.66,-1
2022-02-10,6.242,6.242,-2.58,开放申购,开放赎回,0.17,-1
2022-02-09,6.407,6.407,1.54,开放申购,开放赎回,0.79,1
2022-02-08,6.31,6.31,-2.58,开放申购,开放赎回,0.67,-1
2022-02-07,6.477,6.477,-0.22,开放申购,开放赎回,2.03,-1
2022-01-28,6.491,6.491,-0.32,开放申购,开放赎回,-0.97,-1
2022-01-27,6.512,6.512,-2.15,开放申购,开放赎回,-1.78,-1
2022-01-26,6.655,6.655,0.91,开放申购,开放赎回,0.66,1
2022-01-25,6.595,6.595,-2.04,开放申购,开放赎回,-2.58,-1
2022-01-24,6.732,6.732,2.75,开放申购,开放赎回,0.04,1
2022-01-21,6.552,6.552,-0.7,开放申购,开放赎回,-0.91,-1
