净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌
2022-04-01,9.6635,10.2165,1.08%,封闭期,暂停赎回,0.94%
2022-03-31,9.5599,10.1129,-0.99%,封闭期,暂停赎回,-0.44%
2022-03-30,9.6551,10.2081,1.91%,封闭期,开放赎回,1.96%
2022-03-29,9.4746,10.0276,-0.43%,封闭期,开放赎回,-0.33%
2022-03-28,9.5157,10.0687,-1.15%,封闭期,开放赎回,0.07%
2022-03-25,9.6265,10.1795,-2.13%,封闭期,开放赎回,-1.17%
2022-03-24,9.8359,10.3889,-0.18%,封闭期,开放赎回,-0.63%
2022-03-23,9.8532,10.4062,0.90%,封闭期,开放赎回,0.34%
2022-03-22,9.7653,10.3183,-0.38%,封闭期,开放赎回,0.19%
2022-03-21,9.8025,10.3555,0.35%,封闭期,开放赎回,0.08%
2022-03-18,9.7686,10.3216,-0.09%,封闭期,开放赎回,1.12%
2022-03-17,9.7771,10.3301,3.09%,封闭期,开放赎回,1.40%
2022-03-16,9.4843,10.0373,2.94%,封闭期,开放赎回,3.48%
2022-03-15,9.2137,9.7667,-4.22%,封闭期,开放赎回,-4.95%
2022-03-14,9.6201,10.1731,-3.84%,封闭期,开放赎回,-2.60%
2022-03-11,10.0043,10.5573,0.01%,封闭期,开放赎回,0.41%
2022-03-10,10.0028,10.5558,1.33%,封闭期,开放赎回,1.22%
2022-03-09,9.8715,10.4245,-0.49%,封闭期,开放赎回,-1.13%
2022-03-08,9.9206,10.4736,-1.75%,封闭期,开放赎回,-2.35%
2022-03-07,10.0976,10.6506,-3.81%,封闭期,开放赎回,-2.17%
2022-03-04,10.4975,11.0505,-1.19%,封闭期,开放赎回,-0.96%
2022-03-03,10.6238,11.1768,-1.27%,封闭期,开放赎回,-0.09%
2022-03-02,10.7607,11.3137,-0.92%,封闭期,开放赎回,-0.13%
2022-03-01,10.8603,11.4133,1.32%,封闭期,开放赎回,0.77%
2022-02-28,10.7183,11.2713,0.20%,封闭期,开放赎回,0.32%
2022-02-25,10.6973,11.2503,1.44%,封闭期,开放赎回,0.63%
2022-02-24,10.5458,11.0988,-2.48%,封闭期,开放赎回,-1.70%
2022-02-23,10.8143,11.3673,0.94%,封闭期,开放赎回,0.93%
2022-02-22,10.7137,11.2667,-1.34%,封闭期,开放赎回,-0.96%
2022-02-21,10.8591,11.4121,-0.67%,封闭期,开放赎回,0.00%
2022-02-18,10.9327,11.4857,0.28%,封闭期,开放赎回,0.66%
2022-02-17,10.9025,11.4555,0.04%,封闭期,开放赎回,0.06%
2022-02-16,10.8979,11.4509,0.27%,封闭期,开放赎回,0.57%
2022-02-15,10.8682,11.4212,1.67%,封闭期,开放赎回,0.50%
2022-02-14,10.6902,11.2432,0.20%,封闭期,开放赎回,-0.98%
2022-02-11,10.6686,11.2216,-1.43%,封闭期,开放赎回,-0.66%
2022-02-10,10.8237,11.3767,-0.44%,封闭期,开放赎回,0.17%
2022-02-09,10.8717,11.4247,1.49%,封闭期,开放赎回,0.79%
2022-02-08,10.7120,11.2650,-1.20%,封闭期,开放赎回,0.67%
2022-02-07,10.8426,11.3956,0.57%,封闭期,开放赎回,2.03%
2022-01-28,10.7814,11.3344,-1.37%,封闭期,暂停赎回,-0.97%
2022-01-27,10.9317,11.4847,-1.35%,封闭期,暂停赎回,-1.78%
2022-01-26,11.0818,11.6348,0.18%,封闭期,开放赎回,0.66%
2022-01-25,11.0615,11.6145,-1.38%,封闭期,开放赎回,-2.58%
2022-01-24,11.2167,11.7697,0.14%,封闭期,开放赎回,0.04%
2022-01-21,11.2013,11.7543,0.05%,封闭期,开放赎回,-0.91%
2022-01-20,11.1961,11.7491,0.98%,封闭期,开放赎回,-0.09%
2022-01-19,11.0876,11.6406,-0.81%,封闭期,开放赎回,-0.33%
2022-01-18,11.1783,11.7313,1.21%,封闭期,开放赎回,0.80%
2022-01-17,11.0450,11.5980,0.70%,封闭期,开放赎回,0.58%
2022-01-14,10.9679,11.5209,-0.22%,封闭期,开放赎回,-0.96%
2022-01-13,10.9918,11.5448,-2.19%,封闭期,开放赎回,-1.17%
2022-01-12,11.2377,11.7907,1.58%,封闭期,开放赎回,0.84%
2022-01-11,11.0627,11.6157,-1.67%,封闭期,开放赎回,-0.73%
2022-01-10,11.2502,11.8032,0.22%,封闭期,开放赎回,0.39%
2022-01-07,11.2259,11.7789,-0.70%,封闭期,开放赎回,-0.18%
2022-01-06,11.3051,11.8581,-1.21%,封闭期,开放赎回,-0.25%
2022-01-05,11.4434,11.9964,-1.20%,封闭期,开放赎回,-1.02%
2022-01-04,11.5820,12.1350,-1.04%,封闭期,开放赎回,-0.20%
2021-12-31,11.7040,12.2570,-0.39%,封闭期,暂停赎回,0.57%
2021-12-30,11.7498,12.3028,0.30%,封闭期,暂停赎回,0.62%
2021-12-29,11.7151,12.2681,-2.30%,封闭期,暂停赎回,-0.91%
2021-12-28,11.9912,12.5442,0.54%,封闭期,开放赎回,0.39%
2021-12-27,11.9263,12.4793,-1.05%,封闭期,暂停赎回,-0.06%
2021-12-24,12.0533,12.6063,0.80%,封闭期,开放赎回,-0.69%
2021-12-23,11.9576,12.5106,1.26%,封闭期,开放赎回,0.57%
2021-12-22,11.8093,12.3623,0.13%,封闭期,开放赎回,-0.07%
2021-12-21,11.7942,12.3472,0.08%,封闭期,开放赎回,0.88%
2021-12-20,11.7849,12.3379,-0.53%,封闭期,开放赎回,-1.07%
2021-12-17,11.8471,12.4001,-1.76%,封闭期,开放赎回,-1.16%
2021-12-16,12.0597,12.6127,0.00%,封闭期,开放赎回,0.75%
2021-12-15,12.0602,12.6132,-1.17%,封闭期,开放赎回,-0.38%
2021-12-14,12.2031,12.7561,0.20%,封闭期,开放赎回,-0.53%
2021-12-13,12.1782,12.7312,0.90%,封闭期,开放赎回,0.40%
2021-12-10,12.0698,12.6228,-0.12%,封闭期,开放赎回,-0.18%
2021-12-09,12.0846,12.6376,1.67%,封闭期,开放赎回,0.98%
2021-12-08,11.8865,12.4395,2.27%,封闭期,开放赎回,1.18%
2021-12-07,11.6231,12.1761,0.09%,封闭期,开放赎回,0.16%
2021-12-06,11.6125,12.1655,-0.90%,封闭期,开放赎回,-0.50%
2021-12-03,11.7179,12.2709,2.00%,封闭期,开放赎回,0.94%
2021-12-02,11.4878,12.0408,-0.03%,封闭期,开放赎回,-0.09%
2021-12-01,11.4912,12.0442,-0.45%,封闭期,开放赎回,0.36%
2021-11-30,11.5432,12.0962,-0.98%,封闭期,开放赎回,0.03%
2021-11-29,11.6569,12.2099,0.50%,封闭期,开放赎回,-0.04%
2021-11-26,11.5991,12.1521,-0.20%,封闭期,开放赎回,-0.56%
2021-11-25,11.6227,12.1757,-0.11%,封闭期,开放赎回,-0.24%
2021-11-24,11.6352,12.1882,0.74%,封闭期,开放赎回,0.10%
2021-11-23,11.5492,12.1022,0.03%,封闭期,开放赎回,0.20%
2021-11-22,11.5454,12.0984,1.24%,封闭期,开放赎回,0.61%
2021-11-19,11.4044,11.9574,1.23%,封闭期,开放赎回,1.13%
2021-11-18,11.2660,11.8190,-0.70%,封闭期,开放赎回,-0.47%
2021-11-17,11.3453,11.8983,-0.14%,封闭期,开放赎回,0.44%
2021-11-16,11.3612,11.9142,1.33%,封闭期,开放赎回,-0.33%
2021-11-15,11.2116,11.7646,0.18%,封闭期,开放赎回,-0.16%
2021-11-12,11.1914,11.7444,-0.44%,封闭期,开放赎回,0.18%
2021-11-11,11.2412,11.7942,0.54%,封闭期,开放赎回,1.15%
2021-11-10,11.1808,11.7338,-1.30%,封闭期,开放赎回,-0.41%
2021-11-09,11.3275,11.8805,-0.48%,封闭期,开放赎回,0.24%
2021-11-08,11.3823,11.9353,-1.12%,封闭期,开放赎回,0.20%
2021-11-05,11.5109,12.0639,-0.25%,封闭期,开放赎回,-1.00%
2021-11-04,11.5398,12.0928,1.72%,封闭期,开放赎回,0.81%
2021-11-03,11.3445,11.8975,-0.33%,封闭期,开放赎回,-0.20%
2021-11-02,11.3815,11.9345,-0.19%,封闭期,开放赎回,-1.10%
2021-11-01,11.4026,11.9556,-0.51%,封闭期,开放赎回,-0.08%
2021-10-29,11.4605,12.0135,2.00%,封闭期,开放赎回,0.82%
2021-10-28,11.2363,11.7893,0.64%,封闭期,开放赎回,-1.23%
2021-10-27,11.1645,11.7175,-1.08%,封闭期,开放赎回,-0.98%
2021-10-26,11.2860,11.8390,0.39%,封闭期,开放赎回,-0.34%
2021-10-25,11.2419,11.7949,0.49%,封闭期,开放赎回,0.76%
2021-10-22,11.1866,11.7396,0.71%,封闭期,开放赎回,-0.34%
2021-10-21,11.1080,11.6610,-0.06%,封闭期,开放赎回,0.22%
2021-10-20,11.1149,11.6679,-0.97%,封闭期,开放赎回,-0.17%
2021-10-19,11.2243,11.7773,1.32%,封闭期,开放赎回,0.70%
2021-10-18,11.0785,11.6315,-2.70%,封闭期,开放赎回,-0.12%
2021-10-15,11.3855,11.9385,-0.35%,封闭期,开放赎回,0.40%
2021-10-14,11.4257,11.9787,-0.43%,封闭期,暂停赎回,-0.10%
2021-10-13,11.4755,12.0285,2.70%,封闭期,暂停赎回,0.42%
2021-10-12,11.1741,11.7271,-0.34%,封闭期,开放赎回,-1.25%
2021-10-11,11.2118,11.7648,-0.35%,封闭期,开放赎回,-0.01%
2021-10-08,11.2510,11.8040,0.76%,封闭期,开放赎回,0.67%
2021-09-30,11.1659,11.7189,1.45%,封闭期,暂停赎回,0.90%
2021-09-29,11.0065,11.5595,-0.44%,封闭期,暂停赎回,-1.83%
2021-09-28,11.0554,11.6084,-0.69%,封闭期,开放赎回,0.54%
2021-09-27,11.1321,11.6851,3.69%,封闭期,开放赎回,-0.84%
2021-09-24,10.7358,11.2888,0.85%,封闭期,开放赎回,-0.80%
2021-09-23,10.6454,11.1984,-0.42%,封闭期,开放赎回,0.38%
2021-09-22,10.6907,11.2437,-1.37%,封闭期,暂停赎回,0.40%
2021-09-17,10.8387,11.3917,2.07%,封闭期,暂停赎回,0.19%
2021-09-16,10.6184,11.1714,-0.49%,封闭期,暂停赎回,-1.34%
2021-09-15,10.6705,11.2235,-1.38%,封闭期,开放赎回,-0.17%
2021-09-14,10.8203,11.3733,-0.19%,封闭期,开放赎回,-1.42%
2021-09-13,10.8407,11.3937,-0.48%,封闭期,开放赎回,0.33%
2021-09-10,10.8926,11.4456,0.26%,封闭期,开放赎回,0.27%
2021-09-09,10.8648,11.4178,-0.03%,封闭期,开放赎回,0.49%
2021-09-08,10.8686,11.4216,-1.92%,封闭期,开放赎回,-0.04%
2021-09-07,11.0818,11.6348,0.00%,封闭期,开放赎回,1.51%
2021-09-06,11.0820,11.6350,2.73%,封闭期,开放赎回,1.12%
2021-09-03,10.7870,11.3400,0.79%,封闭期,开放赎回,-0.43%
2021-09-02,10.7021,11.2551,-0.97%,封闭期,开放赎回,0.84%
2021-09-01,10.8066,11.3596,1.36%,封闭期,开放赎回,0.65%
2021-08-31,10.6611,11.2141,-1.01%,封闭期,开放赎回,0.45%
2021-08-30,10.7694,11.3224,0.07%,封闭期,开放赎回,0.17%
2021-08-27,10.7618,11.3148,-0.75%,封闭期,开放赎回,0.59%
2021-08-26,10.8431,11.3961,-2.10%,封闭期,开放赎回,-1.09%
2021-08-25,11.0760,11.6290,0.80%,封闭期,开放赎回,0.74%
2021-08-24,10.9878,11.5408,1.36%,封闭期,开放赎回,1.07%
2021-08-23,10.8409,11.3939,2.52%,封闭期,开放赎回,1.45%
2021-08-20,10.5741,11.1271,-4.04%,封闭期,开放赎回,-1.10%
2021-08-19,11.0196,11.5726,-0.93%,封闭期,开放赎回,-0.57%
2021-08-18,11.1226,11.6756,0.91%,封闭期,开放赎回,1.11%
2021-08-17,11.0228,11.5758,-2.79%,封闭期,开放赎回,-2.00%
2021-08-16,11.3396,11.8926,-0.19%,封闭期,开放赎回,0.03%
2021-08-13,11.3610,11.9140,-0.14%,封闭期,开放赎回,-0.24%
2021-08-12,11.3769,11.9299,-1.67%,封闭期,开放赎回,-0.22%
2021-08-11,11.5705,12.1235,-1.74%,封闭期,开放赎回,0.08%
2021-08-10,11.7750,12.3280,2.22%,封闭期,开放赎回,1.01%
2021-08-09,11.5190,12.0720,1.11%,封闭期,开放赎回,1.05%
2021-08-06,11.3929,11.9459,-0.94%,封闭期,开放赎回,-0.24%
2021-08-05,11.5012,12.0542,-0.90%,封闭期,开放赎回,-0.31%
2021-08-04,11.6055,12.1585,-0.40%,封闭期,开放赎回,0.85%
2021-08-03,11.6519,12.2049,1.82%,封闭期,开放赎回,-0.47%
2021-08-02,11.4433,11.9963,2.44%,封闭期,开放赎回,1.97%
2021-07-30,11.1709,11.7239,-3.06%,封闭期,开放赎回,-0.42%
2021-07-29,11.5232,12.0762,1.11%,封闭期,开放赎回,1.49%
2021-07-28,11.3963,11.9493,1.72%,封闭期,开放赎回,-0.58%
2021-07-27,11.2035,11.7565,-3.89%,封闭期,开放赎回,-2.49%
2021-07-26,11.6574,12.2104,-4.38%,封闭期,开放赎回,-2.34%
2021-07-23,12.1914,12.7444,-1.82%,封闭期,开放赎回,-0.68%
2021-07-22,12.4175,12.9705,-1.06%,封闭期,开放赎回,0.34%
2021-07-21,12.5509,13.1039,0.70%,封闭期,开放赎回,0.73%
2021-07-20,12.4632,13.0162,0.31%,封闭期,开放赎回,-0.07%
2021-07-19,12.4252,12.9782,0.85%,封闭期,开放赎回,-0.01%
2021-07-16,12.3199,12.8729,-2.01%,封闭期,开放赎回,-0.71%
2021-07-15,12.5728,13.1258,1.21%,封闭期,开放赎回,1.02%
2021-07-14,12.4227,12.9757,-0.29%,封闭期,开放赎回,-1.07%
2021-07-13,12.4592,13.0122,0.64%,封闭期,开放赎回,0.53%
2021-07-12,12.3801,12.9331,1.69%,封闭期,开放赎回,0.67%
2021-07-09,12.1743,12.7273,-1.17%,封闭期,开放赎回,-0.04%
2021-07-08,12.3186,12.8716,-1.50%,封闭期,开放赎回,-0.79%
2021-07-07,12.5068,13.0598,1.53%,封闭期,开放赎回,0.66%
2021-07-06,12.3181,12.8711,-0.88%,封闭期,开放赎回,-0.11%
2021-07-05,12.4271,12.9801,-0.60%,封闭期,开放赎回,0.44%
2021-07-02,12.5016,13.0546,-3.00%,封闭期,开放赎回,-1.95%
2021-07-01,12.8877,13.4407,0.44%,封闭期,暂停赎回,-0.07%
2021-06-30,12.8308,13.3838,1.31%,封闭期,开放赎回,0.50%
2021-06-29,12.6652,13.2182,-0.51%,封闭期,开放赎回,-0.92%
2021-06-28,12.7305,13.2835,0.99%,封闭期,开放赎回,-0.03%
2021-06-25,12.6053,13.1583,1.46%,封闭期,开放赎回,1.15%
2021-06-24,12.4233,12.9763,0.30%,封闭期,开放赎回,0.01%
2021-06-23,12.3863,12.9393,-0.19%,封闭期,开放赎回,0.25%
2021-06-22,12.4093,12.9623,0.13%,封闭期,开放赎回,0.80%
2021-06-21,12.3936,12.9466,0.03%,封闭期,开放赎回,0.12%
2021-06-18,12.3898,12.9428,-0.15%,封闭期,开放赎回,-0.01%
2021-06-17,12.4089,12.9619,0.48%,封闭期,开放赎回,0.21%
2021-06-16,12.3497,12.9027,-1.53%,封闭期,开放赎回,-1.07%
2021-06-15,12.5416,13.0946,-0.72%,封闭期,开放赎回,-0.92%
2021-06-11,12.6321,13.1851,-0.03%,封闭期,开放赎回,-0.58%
2021-06-10,12.6356,13.1886,1.02%,封闭期,开放赎回,0.54%
2021-06-09,12.5086,13.0616,-0.16%,封闭期,开放赎回,0.32%
2021-06-08,12.5284,13.0814,-1.17%,封闭期,开放赎回,-0.54%
2021-06-07,12.6771,13.2301,-0.15%,封闭期,开放赎回,0.21%
2021-06-04,12.6963,13.2493,0.60%,封闭期,开放赎回,0.21%
2021-06-03,12.6212,13.1742,-0.44%,封闭期,开放赎回,-0.36%
2021-06-02,12.6764,13.2294,-0.39%,封闭期,开放赎回,-0.76%
2021-06-01,12.7256,13.2786,0.17%,封闭期,开放赎回,0.26%
2021-05-31,12.7040,13.2570,0.07%,封闭期,开放赎回,0.41%
2021-05-28,12.6945,13.2475,-0.56%,封闭期,开放赎回,-0.22%
2021-05-27,12.7666,13.3196,0.51%,封闭期,开放赎回,0.43%
2021-05-26,12.7015,13.2545,-0.79%,封闭期,开放赎回,0.34%
2021-05-25,12.8021,13.3551,3.30%,封闭期,开放赎回,2.40%
2021-05-24,12.3937,12.9467,0.73%,封闭期,开放赎回,0.31%
2021-05-21,12.3040,12.8570,-0.44%,封闭期,开放赎回,-0.58%
2021-05-20,12.3587,12.9117,0.34%,封闭期,开放赎回,-0.11%
2021-05-19,12.3172,12.8702,-0.13%,封闭期,开放赎回,-0.51%
2021-05-18,12.3327,12.8857,-0.15%,封闭期,开放赎回,0.32%
2021-05-17,12.3516,12.9046,3.05%,封闭期,开放赎回,0.78%
2021-05-14,11.9857,12.5387,1.76%,封闭期,开放赎回,1.77%
2021-05-13,11.7789,12.3319,-0.81%,封闭期,开放赎回,-0.96%
2021-05-12,11.8747,12.4277,0.71%,封闭期,开放赎回,0.61%
2021-05-11,11.7906,12.3436,1.13%,封闭期,开放赎回,0.40%
2021-05-10,11.6585,12.2115,-0.53%,封闭期,开放赎回,0.27%
2021-05-07,11.7210,12.2740,-2.28%,封闭期,开放赎回,-0.65%
2021-05-06,11.9942,12.5472,-2.37%,封闭期,开放赎回,-0.16%
2021-04-30,12.2853,12.8383,0.16%,封闭期,开放赎回,-0.81%
2021-04-29,12.2662,12.8192,0.44%,封闭期,开放赎回,0.52%
2021-04-28,12.2129,12.7659,1.24%,封闭期,开放赎回,0.42%
2021-04-27,12.0635,12.6165,2.20%,封闭期,开放赎回,0.04%
2021-04-26,11.8039,12.3569,-1.77%,封闭期,开放赎回,-0.95%
2021-04-23,12.0165,12.5695,2.90%,封闭期,开放赎回,0.26%
2021-04-22,11.6773,12.2303,-0.28%,封闭期,开放赎回,-0.23%
2021-04-21,11.7103,12.2633,--,封闭期,开放赎回,0.00%
