净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌
2022-04-06,5.5390,5.5390,-2.81%,开放申购,开放赎回,0.02%
2022-04-01,5.6990,5.6990,-0.26%,开放申购,开放赎回,0.94%
2022-03-31,5.7140,5.7140,-3.07%,开放申购,开放赎回,-0.44%
2022-03-30,5.8950,5.8950,3.26%,开放申购,开放赎回,1.96%
2022-03-29,5.7090,5.7090,-0.19%,开放申购,开放赎回,-0.33%
2022-03-28,5.7200,5.7200,-1.60%,开放申购,开放赎回,0.07%
2022-03-25,5.8130,5.8130,-1.97%,开放申购,开放赎回,-1.17%
2022-03-24,5.9300,5.9300,-1.28%,开放申购,开放赎回,-0.63%
2022-03-23,6.0070,6.0070,0.97%,开放申购,开放赎回,0.34%
2022-03-22,5.9490,5.9490,-1.90%,开放申购,开放赎回,0.19%
2022-03-21,6.0640,6.0640,0.60%,开放申购,开放赎回,0.08%
2022-03-18,6.0280,6.0280,-0.74%,开放申购,开放赎回,1.12%
2022-03-17,6.0730,6.0730,1.62%,开放申购,开放赎回,1.40%
2022-03-16,5.9760,5.9760,4.20%,开放申购,开放赎回,3.48%
2022-03-15,5.7350,5.7350,-2.12%,开放申购,开放赎回,-4.95%
2022-03-14,5.8590,5.8590,-2.42%,开放申购,开放赎回,-2.60%
2022-03-11,6.0040,6.0040,-0.89%,开放申购,开放赎回,0.41%
2022-03-10,6.0580,6.0580,2.70%,开放申购,开放赎回,1.22%
2022-03-09,5.8990,5.8990,0.14%,开放申购,开放赎回,-1.13%
2022-03-08,5.8910,5.8910,-2.56%,开放申购,开放赎回,-2.35%
2022-03-07,6.0460,6.0460,-2.61%,开放申购,开放赎回,-2.17%
2022-03-04,6.2080,6.2080,-1.59%,开放申购,开放赎回,-0.96%
2022-03-03,6.3080,6.3080,-2.79%,开放申购,开放赎回,-0.09%
2022-03-02,6.4890,6.4890,-1.56%,开放申购,开放赎回,-0.13%
2022-03-01,6.5920,6.5920,0.00%,开放申购,开放赎回,0.77%
2022-02-28,6.5920,6.5920,1.24%,开放申购,开放赎回,0.32%
2022-02-25,6.5110,6.5110,1.01%,开放申购,开放赎回,0.63%
2022-02-24,6.4460,6.4460,-1.26%,开放申购,开放赎回,-1.70%
2022-02-23,6.5280,6.5280,3.92%,开放申购,开放赎回,0.93%
2022-02-22,6.2820,6.2820,-0.95%,开放申购,开放赎回,-0.96%
2022-02-21,6.3420,6.3420,-0.63%,开放申购,开放赎回,0.00%
2022-02-18,6.3820,6.3820,-0.93%,开放申购,开放赎回,0.66%
2022-02-17,6.4420,6.4420,1.95%,开放申购,开放赎回,0.06%
2022-02-16,6.3190,6.3190,-0.61%,开放申购,开放赎回,0.57%
2022-02-15,6.3580,6.3580,4.09%,开放申购,开放赎回,0.50%
2022-02-14,6.1080,6.1080,0.00%,开放申购,开放赎回,-0.98%
2022-02-11,6.1080,6.1080,-2.68%,开放申购,开放赎回,-0.66%
2022-02-10,6.2760,6.2760,-2.56%,开放申购,开放赎回,0.17%
2022-02-09,6.4410,6.4410,1.53%,开放申购,开放赎回,0.79%
2022-02-08,6.3440,6.3440,-2.56%,开放申购,开放赎回,0.67%
2022-02-07,6.5110,6.5110,-0.20%,开放申购,开放赎回,2.03%
2022-01-28,6.5240,6.5240,-0.32%,开放申购,开放赎回,-0.97%
2022-01-27,6.5450,6.5450,-2.17%,开放申购,开放赎回,-1.78%
2022-01-26,6.6900,6.6900,0.92%,开放申购,开放赎回,0.66%
2022-01-25,6.6290,6.6290,-2.04%,开放申购,开放赎回,-2.58%
2022-01-24,6.7670,6.7670,2.76%,开放申购,开放赎回,0.04%
2022-01-21,6.5850,6.5850,-0.69%,开放申购,开放赎回,-0.91%
2022-01-20,6.6310,6.6310,-1.54%,开放申购,开放赎回,-0.09%
2022-01-19,6.7350,6.7350,-2.11%,开放申购,开放赎回,-0.33%
2022-01-18,6.8800,6.8800,0.25%,开放申购,开放赎回,0.80%
2022-01-17,6.8630,6.8630,1.00%,开放申购,开放赎回,0.58%
2022-01-14,6.7950,6.7950,1.37%,开放申购,开放赎回,-0.96%
2022-01-13,6.7030,6.7030,-1.79%,开放申购,开放赎回,-1.17%
2022-01-12,6.8250,6.8250,2.51%,开放申购,开放赎回,0.84%
2022-01-11,6.6580,6.6580,-2.33%,开放申购,开放赎回,-0.73%
2022-01-10,6.8170,6.8170,0.13%,开放申购,开放赎回,0.39%
2022-01-07,6.8080,6.8080,-1.40%,开放申购,开放赎回,-0.18%
2022-01-06,6.9050,6.9050,-0.35%,开放申购,开放赎回,-0.25%
2022-01-05,6.9290,6.9290,-3.36%,开放申购,开放赎回,-1.02%
