净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌
2022-04-07,5.4110,5.4110,-1.73%,开放申购,开放赎回,-1.42%
2022-04-06,5.5060,5.5060,-2.82%,开放申购,开放赎回,0.02%
2022-04-01,5.6660,5.6660,-0.25%,开放申购,开放赎回,0.94%
2022-03-31,5.6800,5.6800,-3.09%,开放申购,开放赎回,-0.44%
2022-03-30,5.8610,5.8610,3.28%,开放申购,开放赎回,1.96%
2022-03-29,5.6750,5.6750,-0.21%,开放申购,开放赎回,-0.33%
2022-03-28,5.6870,5.6870,-1.61%,开放申购,开放赎回,0.07%
2022-03-25,5.7800,5.7800,-1.97%,开放申购,开放赎回,-1.17%
2022-03-24,5.8960,5.8960,-1.27%,开放申购,开放赎回,-0.63%
2022-03-23,5.9720,5.9720,0.96%,开放申购,开放赎回,0.34%
2022-03-22,5.9150,5.9150,-1.89%,开放申购,开放赎回,0.19%
2022-03-21,6.0290,6.0290,0.58%,开放申购,开放赎回,0.08%
2022-03-18,5.9940,5.9940,-0.73%,开放申购,开放赎回,1.12%
2022-03-17,6.0380,6.0380,1.62%,开放申购,开放赎回,1.40%
2022-03-16,5.9420,5.9420,4.19%,开放申购,开放赎回,3.48%
2022-03-15,5.7030,5.7030,-2.11%,开放申购,开放赎回,-4.95%
2022-03-14,5.8260,5.8260,-2.41%,开放申购,开放赎回,-2.60%
2022-03-11,5.9700,5.9700,-0.90%,开放申购,开放赎回,0.41%
2022-03-10,6.0240,6.0240,2.69%,开放申购,开放赎回,1.22%
2022-03-09,5.8660,5.8660,0.12%,开放申购,开放赎回,-1.13%
2022-03-08,5.8590,5.8590,-2.56%,开放申购,开放赎回,-2.35%
2022-03-07,6.0130,6.0130,-2.61%,开放申购,开放赎回,-2.17%
2022-03-04,6.1740,6.1740,-1.58%,开放申购,开放赎回,-0.96%
2022-03-03,6.2730,6.2730,-2.79%,开放申购,开放赎回,-0.09%
2022-03-02,6.4530,6.4530,-1.57%,开放申购,开放赎回,-0.13%
2022-03-01,6.5560,6.5560,0.00%,开放申购,开放赎回,0.77%
2022-02-28,6.5560,6.5560,1.24%,开放申购,开放赎回,0.32%
2022-02-25,6.4760,6.4760,1.01%,开放申购,开放赎回,0.63%
2022-02-24,6.4110,6.4110,-1.26%,开放申购,开放赎回,-1.70%
2022-02-23,6.4930,6.4930,3.92%,开放申购,开放赎回,0.93%
2022-02-22,6.2480,6.2480,-0.95%,开放申购,开放赎回,-0.96%
2022-02-21,6.3080,6.3080,-0.61%,开放申购,开放赎回,0.00%
2022-02-18,6.3470,6.3470,-0.94%,开放申购,开放赎回,0.66%
2022-02-17,6.4070,6.4070,1.94%,开放申购,开放赎回,0.06%
2022-02-16,6.2850,6.2850,-0.62%,开放申购,开放赎回,0.57%
2022-02-15,6.3240,6.3240,4.08%,开放申购,开放赎回,0.50%
2022-02-14,6.0760,6.0760,0.00%,开放申购,开放赎回,-0.98%
2022-02-11,6.0760,6.0760,-2.66%,开放申购,开放赎回,-0.66%
2022-02-10,6.2420,6.2420,-2.58%,开放申购,开放赎回,0.17%
2022-02-09,6.4070,6.4070,1.54%,开放申购,开放赎回,0.79%
2022-02-08,6.3100,6.3100,-2.58%,开放申购,开放赎回,0.67%
2022-02-07,6.4770,6.4770,-0.22%,开放申购,开放赎回,2.03%
2022-01-28,6.4910,6.4910,-0.32%,开放申购,开放赎回,-0.97%
2022-01-27,6.5120,6.5120,-2.15%,开放申购,开放赎回,-1.78%
2022-01-26,6.6550,6.6550,0.91%,开放申购,开放赎回,0.66%
2022-01-25,6.5950,6.5950,-2.04%,开放申购,开放赎回,-2.58%
2022-01-24,6.7320,6.7320,2.75%,开放申购,开放赎回,0.04%
2022-01-21,6.5520,6.5520,-0.70%,开放申购,开放赎回,-0.91%
2022-01-20,6.5980,6.5980,-1.54%,开放申购,开放赎回,-0.09%
2022-01-19,6.7010,6.7010,-2.10%,开放申购,开放赎回,-0.33%
2022-01-18,6.8450,6.8450,0.23%,开放申购,开放赎回,0.80%
2022-01-17,6.8290,6.8290,1.01%,开放申购,开放赎回,0.58%
2022-01-14,6.7610,6.7610,1.36%,开放申购,开放赎回,-0.96%
2022-01-13,6.6700,6.6700,-1.78%,开放申购,开放赎回,-1.17%
2022-01-12,6.7910,6.7910,2.51%,开放申购,开放赎回,0.84%
2022-01-11,6.6250,6.6250,-2.33%,开放申购,开放赎回,-0.73%
2022-01-10,6.7830,6.7830,0.12%,开放申购,开放赎回,0.39%
2022-01-07,6.7750,6.7750,-1.40%,开放申购,开放赎回,-0.18%
2022-01-06,6.8710,6.8710,-0.35%,开放申购,开放赎回,-0.25%
2022-01-05,6.8950,6.8950,-3.36%,开放申购,开放赎回,-1.02%
2022-01-04,7.1350,7.1350,-1.87%,开放申购,开放赎回,-0.20%
2021-12-31,7.2710,7.2710,1.03%,开放申购,开放赎回,0.57%
2021-12-30,7.1970,7.1970,0.57%,开放申购,开放赎回,0.62%
2021-12-29,7.1560,7.1560,0.13%,开放申购,开放赎回,-0.91%
2021-12-28,7.1470,7.1470,0.83%,开放申购,开放赎回,0.39%
2021-12-27,7.0880,7.0880,-0.17%,开放申购,开放赎回,-0.06%
2021-12-24,7.1000,7.1000,-1.85%,开放申购,开放赎回,-0.69%
2021-12-23,7.2340,7.2340,1.37%,开放申购,开放赎回,0.57%
2021-12-22,7.1360,7.1360,1.45%,开放申购,开放赎回,-0.07%
2021-12-21,7.0340,7.0340,1.02%,开放申购,开放赎回,0.88%
2021-12-20,6.9630,6.9630,-2.56%,开放申购,开放赎回,-1.07%
2021-12-17,7.1460,7.1460,-2.44%,开放申购,开放赎回,-1.16%
2021-12-16,7.3250,7.3250,0.62%,开放申购,开放赎回,0.75%
2021-12-15,7.2800,7.2800,-0.60%,开放申购,开放赎回,-0.38%
2021-12-14,7.3240,7.3240,-0.04%,开放申购,开放赎回,-0.53%
2021-12-13,7.3270,7.3270,0.07%,开放申购,开放赎回,0.40%
2021-12-10,7.3220,7.3220,0.94%,开放申购,开放赎回,-0.18%
2021-12-09,7.2540,7.2540,-0.04%,开放申购,开放赎回,0.98%
2021-12-08,7.2570,7.2570,2.51%,开放申购,开放赎回,1.18%
2021-12-07,7.0790,7.0790,-1.57%,开放申购,开放赎回,0.16%
2021-12-06,7.1920,7.1920,-1.29%,开放申购,开放赎回,-0.50%
2021-12-03,7.2860,7.2860,0.83%,开放申购,开放赎回,0.94%
2021-12-02,7.2260,7.2260,-0.77%,开放申购,开放赎回,-0.09%
2021-12-01,7.2820,7.2820,-1.54%,开放申购,开放赎回,0.36%
2021-11-30,7.3960,7.3960,0.76%,开放申购,开放赎回,0.03%
2021-11-29,7.3400,7.3400,1.86%,开放申购,开放赎回,-0.04%
2021-11-26,7.2060,7.2060,0.45%,开放申购,开放赎回,-0.56%
2021-11-25,7.1740,7.1740,-0.47%,开放申购,开放赎回,-0.24%
2021-11-24,7.2080,7.2080,-1.48%,开放申购,开放赎回,0.10%
